Classes,Definition,Questions
DESCRIPTION,manner,How did serfdom develop in and then leave Russia ?
ENTITY,creative,What films featured the character Popeye Doyle ?
DESCRIPTION,manner,How can I find a list of celebrities ' real names ?
ENTITY,animal,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
ABBREVIATION,exp,What is the full form of .com ?
HUMAN,ind,What contemptible scoundrel stole the cork from my lunch ?
HUMAN,group,What team did baseball 's St. Louis Browns become ?
HUMAN,title,What is the oldest profession ?
DESCRIPTION,definition,What are liver enzymes ?
HUMAN,ind,Name the scar-faced bounty hunter of The Old West .
NUMERIC,date,When was Ozzy Osbourne born ?
DESCRIPTION,reason,Why do heavier objects travel downhill faster ?
HUMAN,ind,Who was The Pride of the Yankees ?
HUMAN,ind,Who killed Gandhi ?
ENTITY,event,What is considered the costliest disaster the insurance industry has ever faced ?
LOCATION,state,What sprawling U.S. state boasts the most airports ?
DESCRIPTION,description of st,What did the only repealed amendment to the U.S. Constitution deal with ?
NUMERIC,count,How many Jews were executed in concentration camps during WWII ?
DESCRIPTION,definition,What is `` Nine Inch Nails '' ?
DESCRIPTION,definition,What is an annotated bibliography ?
NUMERIC,date,What is the date of Boxing Day ?
ENTITY,other entity,What articles of clothing are tokens in Monopoly ?
HUMAN,ind,Name 11 famous martyrs .
DESCRIPTION,description of st,What 's the Olympic motto ?
DESCRIPTION,description of st,What is the origin of the name ` Scarlett ' ?
ENTITY,letter,What 's the second-most-used vowel in English ?
HUMAN,ind,Who was the inventor of silly putty ?
LOCATION,other loc,What is the highest waterfall in the United States ?
ENTITY,other entity,Name a golf course in Myrtle Beach .
LOCATION,state,Which two states enclose Chesapeake Bay ?
ABBREVIATION,exp,What does the abbreviation AIDS stand for ?
ENTITY,other entity,What does a spermologer collect ?
NUMERIC,count,How many points make up a perfect fivepin bowling score ?
HUMAN,group,Which company that manufactures video-game hardware sells the `` super system '' ?
NUMERIC,count,How many Community Chest cards are there in Monopoly ?
DESCRIPTION,description of st,What do Mormons believe ?
NUMERIC,date,When did the neanderthal man live ?
ENTITY,religion,In what religion was Isis the nature goddess ?
