Pattern,Response,Tag
Hi,Hello!,greeting
Hello,Hi there!,greeting
Hey,Hey!,greeting
Good morning,Hi! How can I help you today?,greeting
Good afternoon,Good day! How can I assist you?,greeting
Good evening,Hello! What can I do for you?,greeting
How are you?,Hey! How are you?,greeting
What's up?,Hi there! How's it going?,greeting
Greetings,Greetings! How can I be of service?,greeting
Howdy,Howdy! What can I help you with?,greeting
Hi there,Hi! How have you been?,greeting
Hey there,Hello! How are you doing today?,greeting
Nice to meet you,Hey! What can I assist you with?,greeting
Pleased to meet you,Yo! What's up?,greeting
How's it going?,Heya! What's new?,greeting
How have you been?,Hiya! How can I help?,greeting
Long time no see,Hey buddy! How's life?,greeting
What's new?,What's cracking?,greeting
"Hey, what's up?",What's cookin'?,greeting
Hello there,Hey sunshine! How's it going?,greeting
Good to see you,Top of the morning to you!,greeting
How do you do?,What's the good word?,greeting
Yo!,Sup?,greeting
What's cracking?,How's tricks?,greeting
Heya!,How's the world treating you?,greeting
Hiya!,What's going on?,greeting
How's life treating you?,What's the story?,greeting
What's shaking?,How are things?,greeting
Salutations!,Salutations!,greeting
Hey buddy!,"Hey there, friend!",greeting
What's cookin'?,"Not much, just here to help you out!",greeting
Top of the morning to you!,Top of the morning to you too!,greeting
How's everything?,Everything's great! How about you?,greeting
What's the good word?,The good word is 'hello'! How can I assist you today?,greeting
Sup?,"Not much, just here to assist you!",greeting
How's tricks?,Tricks are good! How about you?,greeting
How's the world treating you?,"The world is treating me well, thank you! How about you?",greeting
What's going on?,"Not much, just here to help you out!",greeting
What's the story?,"The story is, I'm here to help you!",greeting
How are things?,Things are great! How about you?,greeting
Hey sunshine!,Hey there! How can I brighten your day?,greeting
Xin chào,Xin chào!,greeting
Chào,Chào bạn!,greeting
Chào bạn,Chào!,greeting
Chào buổi sáng,Chào! Tôi có thể giúp gì cho bạn?,greeting
Chào buổi chiều,Chào ngày mới! Tôi có thể giúp gì cho bạn?,greeting
Chào buổi tối,Xin chào! Tôi có thể giúp gì cho bạn?,greeting
Bạn khỏe không?,Chào! Bạn khỏe không?,greeting
Có gì mới không?,Chào bạn! Bạn dạo này thế nào?,greeting
Chào mừng,Xin chào! Tôi có thể giúp gì cho bạn?,greeting
